Year,Oil_Avg,Gold_Avg,Silver_Avg,Oil_YoY_pct,Gold_YoY_pct,Silver_YoY_pct
1946,22.89833333333333,35.0,0.8000000000000002,,,
1947,27.201666666666668,35.0,0.7200000000000001,18.793216391294877,0.0,-10.000000000000009
1948,35.3075,35.0,0.7399999999999999,29.79903192206359,0.0,2.7777777777777457
1949,35.6475,31.88,0.7200000000000001,0.9629682078878599,-8.914285714285718,-2.702702702702675
1950,35.277499999999996,35.0,0.7399999999999999,-1.037940949575722,9.786700125470515,2.7777777777777457
1951,32.6975,35.0,0.89,-7.3134434129402575,0.0,20.270270270270284
1952,31.963333333333335,34.69,0.85,-2.2453296633279662,-0.8857142857142897,-4.49438202247191
1953,33.497499999999995,35.0,0.85,4.799770570445272,0.8936292879792473,0.0
1954,34.684999999999995,35.31,0.85,3.5450406746772245,0.8857142857142897,0.0
1955,34.7825,35.31,0.89,0.28110134063716874,0.0,4.705882352941182
1956,34.262499999999996,35.31,0.92,-1.4950046718896104,0.0,3.370786516853941
1957,35.775,35.0,0.92,4.414447282013878,-0.8779382611158404,0.0
1958,34.998333333333335,35.31,0.89,-2.170976007453984,0.8857142857142897,-3.2608695652173947
1959,33.704166666666666,35.31,0.92,-3.697795133101578,0.0,3.370786516853941
1960,33.16166666666667,35.31,0.92,-1.6095932748176445,0.0,0.0
1961,32.80916666666666,35.31,0.93,-1.0629743177363649,0.0,1.0869565217391353
1962,32.419999999999995,35.31,1.09,-1.1861522440374972,0.0,17.204301075268823
1963,32.026666666666664,35.31,1.29225,-1.213242854205221,0.0,18.555045871559606
1964,31.353333333333335,35.31,1.2982500000000001,-2.1024146544546096,0.0,0.464306442251905
1965,30.602500000000003,35.31,1.2951666666666666,-2.394748033170313,0.0,-0.2374991976378582
1966,29.877499999999998,35.31,1.2975833333333333,-2.369087492851907,0.0,0.18659117230730438
1967,29.959999999999997,35.31,1.65825,0.27612752070955704,0.0,27.79526042001157
1968,29.150000000000002,40.2025,2.1875,-2.7036048064085327,13.855848201642583,31.916176692296094
1969,29.6575,40.839166666666664,1.7983333333333331,1.7409948542023823,1.5836494413697277,-17.790476190476202
1970,28.504166666666666,35.98583333333333,1.7516666666666667,-3.8888420579392458,-11.884016569061561,-2.5949953660796887
1971,29.034166666666664,40.96666666666666,1.5183333333333333,1.8593772840227896,13.841094875298143,-13.320647002854425
1972,28.11583333333333,59.096666666666664,1.6975,-3.1629402141155505,44.25549227013834,11.800219538968172
1973,28.75916666666667,99.95416666666667,2.5908333333333333,2.2881531758499163,69.13672513960178,52.62641138929798
1974,69.46666666666667,161.67916666666667,4.7508333333333335,141.54617368375298,61.75330359748219,83.37085879704085
1975,68.50416666666666,160.4125,4.420833333333333,-1.3855566218810011,-0.7834445790274036,-6.946149798281009
1976,73.31833333333333,123.79166666666667,4.3425,7.027553068548142,-22.82916439388035,-1.7719132893496692
1977,77.87666666666667,148.95000000000002,4.6466666666666665,6.217180786979171,20.32312352743184,7.0044137401650275
1978,75.22333333333333,196.79583333333335,5.498333333333334,-3.407096691349576,32.122076759539,18.328550932568177
1979,101.0475,320.97499999999997,12.521666666666667,34.32999512562591,63.10050602358616,127.73567747802362
1980,149.85999999999999,607.7624999999999,19.475833333333334,48.30648952225438,89.34885894540072,55.53706908026088
1981,133.35166666666666,449.5833333333333,10.01,-11.01583700342541,-26.026476899556428,-48.60296949210561
1982,115.06916666666666,376.1125,7.930833333333333,-13.709989876391992,-16.34198331788692,-20.77089577089577
1983,100.81333333333333,419.3958333333333,11.330833333333333,-12.388925501328906,11.508081580200958,42.870652516549335
1984,92.9975,358.12083333333334,8.060833333333333,-7.752777410395451,-14.610302518503794,-28.85930720011767
1985,85.55833333333334,320.8333333333333,6.164166666666667,-7.999318978108727,-10.411988504811,-23.529411764705877
1986,43.399166666666666,368.22499999999997,5.3975,-49.27534820298043,14.771428571428569,-12.437474651885893
1987,55.305,451.0916666666667,7.052499999999999,27.433322452428044,22.504356484939024,30.662343677628524
1988,44.681666666666665,432.21250000000003,6.4175,-19.20863092547389,-4.18521734311208,-9.003899326479958
1989,52.14416666666667,380.1166666666666,5.4191666666666665,16.701480845984573,-12.053291687152367,-15.5564212439943
1990,62.55916666666667,383.9041666666667,4.761666666666667,19.973470985888486,0.9964046126189618,-12.132861756112556
1991,51.251666666666665,358.9375,3.9925,-18.074889104980628,-6.5033591282546706,-16.153307665383267
1992,48.46666666666667,343.2291666666667,3.92,-5.433969627003998,-4.376342213709439,-1.8159048215403928
1993,42.33,363.9458333333334,4.41,-12.661623108665754,6.035811836115346,12.5
1994,38.8525,384.6375,5.301666666666667,-8.215213796361919,5.685369846703359,20.219198790627367
1995,39.973333333333336,383.7625,5.203333333333333,2.8848422452437683,-0.22748691950212896,-1.8547626532536943
1996,45.61416666666667,386.25416666666666,5.1475,14.111490993996,0.6492730964246629,-1.073030108904549
1997,41.954166666666666,329.3333333333333,4.998333333333334,-8.023823008202868,-14.736626357860217,-2.8978468512222633
1998,29.59,294.19166666666666,5.501666666666666,-29.470652497765414,-10.670546558704451,10.070023341113687
1999,38.968333333333334,280.59583333333336,5.28,31.694266080883192,-4.621420275897226,-4.029082096334424
2000,56.995000000000005,276.675,4.905,46.259783584962165,-1.3973241465334185,-7.102272727272729
2001,47.09833333333333,271.1333333333333,4.386666666666667,-17.364096265754327,-2.002951718321744,-10.567448182127082
2002,48.77,312.8625,4.6049999999999995,3.549311723698656,15.390644209491033,4.977203647416406
2003,55.4775,367.625,4.948333333333333,13.753331966372762,17.503695712972945,7.4556641331885665
2004,72.61333333333333,409.80833333333334,6.6866666666666665,30.887897495981843,11.474555139975063,35.12967329067025
2005,96.71583333333332,448.9791666666667,7.391666666666667,33.19293977230995,9.55833011367102,10.543369890329025
2006,109.59333333333332,611.5375,11.834166666666667,13.314779551779687,36.20620852860657,60.10146561443066
2007,119.10416666666667,704.6750000000001,13.512500000000001,8.678295516758938,15.230055393168861,14.182099852123109
2008,150.96333333333334,880.2083333333334,14.975833333333334,26.748994227741818,24.909828407894885,10.829478877582478
2009,98.01416666666667,982.6458333333334,14.770000000000001,-35.07419020071099,11.637869822485204,-1.3744365922875645
2010,121.05583333333334,1230.75,20.51,23.508506423391175,25.24858481565502,38.862559241706165
2011,142.115,1567.9583333333333,35.556666666666665,17.396242780535154,27.39860518653936,73.3625873557614
2012,135.26833333333335,1679.8333333333333,31.626666666666665,-4.817694590062038,7.135074805346653,-11.052779600637475
2013,138.30166666666665,1399.5625,23.53,2.2424563521888263,-16.684442901081454,-25.60075885328835
2014,127.6725,1256.25,18.75916666666667,-7.685494269772586,-10.23980708257045,-20.2755347782972
2015,68.51833333333333,1151.9458333333334,15.514166666666668,-46.332739365694785,-8.302819237147585,-17.298209764115324
2016,60.787499999999994,1249.9750000000001,17.13266666666667,-11.282868332076578,8.509876404778872,10.432400494172
2017,69.84833333333334,1269.3375,17.235516666666665,14.90575090821855,1.5490309806196034,0.6003151873613666
2018,84.91250000000001,1265.6000000000001,15.637616666666666,21.566966522703957,-0.2944449368272761,-9.270972439661895
2019,74.02666666666666,1405.325,16.3618,-12.820059865547883,11.04021807838178,4.631033927804418
2020,49.19,1784.6575,20.796133333333334,-33.55097262247838,26.992510629213882,27.101745121767372
2021,83.01583333333333,1792.7316666666666,24.96813333333333,68.76567052924037,0.4524210761261749,20.061421674542057
2022,106.4525,1798.956575,21.671766666666667,28.23156225218082,0.34723034400947483,-13.202295192271741
2023,84.1925,1953.6885166666668,23.579674999999998,-20.910734834785472,8.601204932735351,8.803658523455237
2024,79.8325,2404.577566666667,28.128033333333335,-5.17860854589185,23.07886063482092,19.289317318128152
2025,65.92666666666666,3472.540975,41.5015,-17.418762200022964,44.41376411133169,47.5449758900077
