Period,Event,Oil effect,Gold effect,Silver effect,Currency
1973–74,OPEC embargo,+141.5%,Surge begins,Follows gold,USD weakens
1979–81,"Iran Revolution
+ Iran-Iraq War",Spike >$130,+89.3% (1979),Peaks $35.52,"USD inflation
Volcker shock"
1986,OPEC price war,−49.3%,Consolidates,Low volatility,Limited impact
1990–91,Gulf War,Jump to $98,Slight rise,Slight rise,USD flows
2008–09,Global Financial Crisis,−35%,+24%,+21%,USD safe haven
2014–16,"US shale
oversupply",−46%,Consolidates,Falls −40%,USD strengthens
2020,COVID-19,−33.6%,+27.0%,+27.1%,Rate cuts global
2022,"Russia-Ukraine
War + Sanctions",+28.2%,"Holds $1,800",−13.2%,"CNY rises
BRICS talks start"
2022–26,"Gold accumulation
De-dollarisation",Gradual decline,"+44% (2025)
+41% (2026 YTD)","+47.5% (2025)
+131.5% (2026 YTD)",CNY rank 5 (3.10%)
